CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
62063A55-,XHOVEMONT-NAIMETTE,"3946","3",62063 LIEGE
62063A601,SAINTE-WALBURGE,"3946","3",62063 LIEGE
62063A61-,SEELIGER,"3946","3",62063 LIEGE
62063A62-,JEAN-DE-WILDE,"3946","3",62063 LIEGE
62063A640,FOND-PIERETTE-BUISSONS,"3946","3",62063 LIEGE
62063A65-,NANIOT,"3946","3",62063 LIEGE
62063A6AP,FOSSE-CRAHAY,"3946","3",62063 LIEGE
62063A6MJ,CITADELLE,"3946","3",62063 LIEGE
62063A70-,MAGHIN,"3946","3",62063 LIEGE
62063A71-,BONNE-NOUVELLE,"3946","3",62063 LIEGE
62063A72-,CORONMEUSE-MORINVAL,"3946","3",62063 LIEGE
62063A74-,JOSEPH-TRUFFAUT,"3946","3",62063 LIEGE
62063A77-,MONSIN,"3946","3",62063 LIEGE
62063A7MN,HALLE DES FOIRES,"3946","3",62063 LIEGE
62063A801,SAINTE-BEUVE,"3947","3",62063 LIEGE
62063A812,CALVAIRE,"3947","3",62063 LIEGE
62063A83-,L'ESPERANCE,"3947","3",62063 LIEGE
62063A84-,NOE-RENSON,"3947","3",62063 LIEGE
62063A842,BOIS-MAYETTE,"3947","3",62063 LIEGE
62063A90-,THIER-A-LIEGE,"3946","3",62063 LIEGE
62063A91-,WALTHERE-DEWE,"3946","3",62063 LIEGE
62063A920,PETITES-ROCHES,"3946","3",62063 LIEGE
62063A93-,FOND-DES-TAWES,"3946","3",62063 LIEGE
62063B10-,YSER,"3948","3",62063 LIEGE
62063B11-,DOS-FANCHON,"3949","3",62063 LIEGE
62063B12-,CONGRES,"3949","3",62063 LIEGE
62063B13-,MEAN,"3948","3",62063 LIEGE
62063B20-,VILLETTE,"3948","3",62063 LIEGE
62063B211,VALDOR,"3948","3",62063 LIEGE
62063B221,BOVERIE,"3948","3",62063 LIEGE
62063B232,LONGDOZ,"3948","3",62063 LIEGE
62063B24-,GLOESENER,"3948","3",62063 LIEGE
62063B292,ACCLIMATATION,"3948","3",62063 LIEGE
62063B30-,FETINNE,"3948","3",62063 LIEGE
62063B31-,LUXEMBOURG,"3948","3",62063 LIEGE
62063B32-,VENNES,"3948","3",62063 LIEGE
62063B37-,QUAI DES VENNES,"3948","3",62063 LIEGE
62063B40-,AMERCOEUR,"3949","3",62063 LIEGE
62063B41-,CORNILLON,"3948","3",62063 LIEGE
62063B42-,LA CHARTREUSE,"3948","3",62063 LIEGE
62063B80-,DROIXHE,"3949","3",62063 LIEGE
62063B87-,GAY-VILLAGE,"3949","3",62063 LIEGE
62063C00-,WANDRE-CENTRE,"3950","3",62063 LIEGE
62063C01-,WANDRE-ANTENNE,"3950","3",62063 LIEGE
62063C022,LE DOSSAY,"3950","3",62063 LIEGE
62063C079,WANDRE-MEUSE,"3950","3",62063 LIEGE
