osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,area_calc
"319536443",retail,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.00255973588865995
"319536459",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.264163970419155
"319536460",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.00136330259791762
"319536466",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.00187078135005571
"319536470",residential,"1627","1","31005",31005 BRUGGE,"3",BRUGGE,0.00057136719584465
"319536486",residential,"1627","1","31005",31005 BRUGGE,"3",BRUGGE,0.00250848581398465
"319536486",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,4.40694056376815e-05
"319670797",residential,"1598","1","31005",31005 BRUGGE,"3",BRUGGE,0.00230678578947997
"319670797",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.00127630104117095
"319670797",residential,"1629","1","31005",31005 BRUGGE,"3",BRUGGE,0.47762626101895
"319670797",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0028803091477711
"331848834",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.00410001380469836
"368503725",retail,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.114259541481626
"368665530",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00430265642324463
"370445861",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00289135838323832
"370445872",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00127892856461555
"370445879",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0370045683138822
"370670841",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00387368095138296
"370670857",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0050577958400026
"370670859",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00249049648346752
"370670860",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00162731807292998
"370670863",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00621861004958302
"371117501",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00154911954461783
"371353070",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00103639900340512
"371353070",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.0120301439818405
"371353086",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00282393485062569
"371353093",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00231811735902727
"371353095",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00637918281640485
"371353099",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00181690222404152
"371934818",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00809439027066715
"372024140",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00401724512225389
"372555861",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,1.29008173244074e-06
"372822266",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00669702790291887
"372822268",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.0375289599075578
"372822270",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00111966837868094
"372822272",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.0014964060972929
"373899192",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00275863127988926
"373899192",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00677374729037751
"373899198",residential,"1593","1","31005",31005 BRUGGE,"3",BRUGGE,0.000133142463769764
"373899198",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00183774423620105
"373899201",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00399774347931519
"373899202",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00373521231552586
"374126857",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.000188779445687076
"374126857",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00513171139268862
"374126886",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00109210347091779
"374126887",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00108854734838009
"374126894",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00161021690873802
"374126896",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00110681914104894
"374126900",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00728821290289611
"374126908",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00845833788872883
"374126914",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00642655146327615
"374348228",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0024850015436383
"374348254",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00355798940130323
"374586403",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0213541747724898
"374586409",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.00316505457192659
"374586411",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0045339459338896
"374586415",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00321541824453138
