Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 28,Region 7,4
Region 28,Region 8,2
Region 28,Region 9,19
Region 28,Region 10,19
Region 28,Region 11,10
Region 28,Region 12,1
Region 28,Region 13,4
Region 28,Region 14,5
Region 28,Region 15,5
Region 28,Region 16,1
Region 28,Region 17,0
Region 28,Region 18,0
Region 28,Region 19,6
Region 28,Region 20,2
Region 28,Region 21,5
Region 28,Region 22,3
Region 28,Region 23,0
Region 28,Region 24,5
Region 28,Region 25,0
Region 28,Region 26,4
Region 28,Region 27,36
Region 28,Region 28,66
Region 28,Region 29,3
Region 28,Region 30,6
Region 28,External,175
Region 29,Region 1,3
Region 29,Region 2,2
Region 29,Region 3,0
Region 29,Region 4,1
Region 29,Region 5,4
Region 29,Region 6,0
Region 29,Region 7,0
Region 29,Region 8,2
Region 29,Region 9,6
Region 29,Region 10,5
Region 29,Region 11,4
Region 29,Region 12,0
Region 29,Region 13,2
Region 29,Region 14,0
Region 29,Region 15,0
Region 29,Region 16,0
Region 29,Region 17,1
Region 29,Region 18,0
Region 29,Region 19,1
Region 29,Region 20,1
Region 29,Region 21,0
Region 29,Region 22,2
Region 29,Region 23,0
Region 29,Region 24,0
Region 29,Region 25,0
Region 29,Region 26,2
Region 29,Region 27,4
Region 29,Region 28,19
Region 29,Region 29,20
Region 29,Region 30,3
Region 29,External,76
Region 30,Region 1,0
Region 30,Region 2,5
Region 30,Region 3,0
Region 30,Region 4,0
Region 30,Region 5,0
Region 30,Region 6,1
Region 30,Region 7,1
Region 30,Region 8,0
Region 30,Region 9,0
Region 30,Region 10,2
Region 30,Region 11,0
Region 30,Region 12,1
Region 30,Region 13,0
Region 30,Region 14,2
Region 30,Region 15,1
Region 30,Region 16,0
Region 30,Region 17,2
Region 30,Region 18,0
Region 30,Region 19,0
Region 30,Region 20,2
Region 30,Region 21,0
Region 30,Region 22,3
Region 30,Region 23,0
Region 30,Region 24,0
Region 30,Region 25,0
Region 30,Region 26,3
Region 30,Region 27,11
Region 30,Region 28,4
Region 30,Region 29,2
Region 30,Region 30,11
Region 30,External,111
External,Region 1,90
External,Region 2,59
External,Region 3,33
External,Region 4,27
External,Region 5,220
External,Region 6,155
External,Region 7,56
External,Region 8,186
External,Region 9,69
External,Region 10,72
External,Region 11,121
External,Region 12,57
External,Region 13,27
External,Region 14,61
External,Region 15,103
External,Region 16,1
External,Region 17,54
External,Region 18,57
External,Region 19,85
External,Region 20,335
External,Region 21,101
External,Region 22,418
External,Region 23,13
External,Region 24,68
External,Region 25,67
External,Region 26,43
External,Region 27,269
External,Region 28,268
External,Region 29,111
External,Region 30,205
External,External,1440
