Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 30,Region 12,1
Region 30,Region 13,2
Region 30,Region 14,10
Region 30,Region 15,0
Region 30,Region 16,3
Region 30,Region 17,1
Region 30,Region 18,21
Region 30,Region 19,7
Region 30,Region 20,1
Region 30,Region 21,13
Region 30,Region 22,6
Region 30,Region 23,0
Region 30,Region 24,45
Region 30,Region 25,5
Region 30,Region 26,1
Region 30,Region 27,15
Region 30,Region 28,35
Region 30,Region 29,2
Region 30,Region 30,36
Region 30,Region 31,1
Region 30,Region 32,9
Region 30,Region 33,45
Region 30,Region 34,5
Region 30,Region 35,2
Region 31,Region 1,1
Region 31,Region 2,3
Region 31,Region 3,5
Region 31,Region 4,3
Region 31,Region 5,0
Region 31,Region 6,1
Region 31,Region 7,4
Region 31,Region 8,2
Region 31,Region 9,2
Region 31,Region 10,84
Region 31,Region 11,1
Region 31,Region 12,4
Region 31,Region 13,2
Region 31,Region 14,10
Region 31,Region 15,0
Region 31,Region 16,2
Region 31,Region 17,1
Region 31,Region 18,6
Region 31,Region 19,4
Region 31,Region 20,0
Region 31,Region 21,0
Region 31,Region 22,6
Region 31,Region 23,4
Region 31,Region 24,1
Region 31,Region 25,0
Region 31,Region 26,0
Region 31,Region 27,30
Region 31,Region 28,19
Region 31,Region 29,2
Region 31,Region 30,0
Region 31,Region 31,201
Region 31,Region 32,27
Region 31,Region 33,36
Region 31,Region 34,2
Region 31,Region 35,9
Region 32,Region 1,2
Region 32,Region 2,3
Region 32,Region 3,1
Region 32,Region 4,5
Region 32,Region 5,0
Region 32,Region 6,9
Region 32,Region 7,3
Region 32,Region 8,0
Region 32,Region 9,0
Region 32,Region 10,26
Region 32,Region 11,1
Region 32,Region 12,1
Region 32,Region 13,4
Region 32,Region 14,14
Region 32,Region 15,4
Region 32,Region 16,15
Region 32,Region 17,2
Region 32,Region 18,7
Region 32,Region 19,0
Region 32,Region 20,0
Region 32,Region 21,1
Region 32,Region 22,3
Region 32,Region 23,3
Region 32,Region 24,2
Region 32,Region 25,0
Region 32,Region 26,1
Region 32,Region 27,10
Region 32,Region 28,38
Region 32,Region 29,17
Region 32,Region 30,15
Region 32,Region 31,13
Region 32,Region 32,65
Region 32,Region 33,25
Region 32,Region 34,27
Region 32,Region 35,6
Region 33,Region 1,30
Region 33,Region 2,15
Region 33,Region 3,82
Region 33,Region 4,62
Region 33,Region 5,15
Region 33,Region 6,120
Region 33,Region 7,46
Region 33,Region 8,42
Region 33,Region 9,28
Region 33,Region 10,1472
Region 33,Region 11,24
Region 33,Region 12,16
Region 33,Region 13,37
Region 33,Region 14,189
Region 33,Region 15,40
Region 33,Region 16,63
Region 33,Region 17,15
Region 33,Region 18,70
Region 33,Region 19,22
Region 33,Region 20,0
Region 33,Region 21,8
Region 33,Region 22,154
Region 33,Region 23,40
Region 33,Region 24,13
Region 33,Region 25,0
Region 33,Region 26,81
Region 33,Region 27,511
Region 33,Region 28,201
