Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 22,Region 18,1
Region 22,Region 19,5
Region 22,Region 20,1
Region 22,Region 21,3
Region 22,Region 22,17
Region 22,Region 23,7
Region 22,Region 24,9
Region 22,Region 25,0
Region 22,Region 26,0
Region 22,Region 27,4
Region 22,Region 28,1
Region 22,Region 29,3
Region 22,Region 30,1
Region 22,Region 31,0
Region 22,Region 32,0
Region 22,Region 33,0
Region 22,Region 34,1
Region 22,Region 35,0
Region 22,Region 36,0
Region 22,Region 37,0
Region 22,Region 38,0
Region 22,Region 39,0
Region 22,Region 40,2
Region 22,Region 41,0
Region 22,Region 42,2
Region 22,Region 43,2
Region 22,Region 44,0
Region 22,External,80
Region 23,Region 1,0
Region 23,Region 2,0
Region 23,Region 3,0
Region 23,Region 4,0
Region 23,Region 5,0
Region 23,Region 6,0
Region 23,Region 7,0
Region 23,Region 8,0
Region 23,Region 9,2
Region 23,Region 10,0
Region 23,Region 11,0
Region 23,Region 12,1
Region 23,Region 13,1
Region 23,Region 14,0
Region 23,Region 15,0
Region 23,Region 16,0
Region 23,Region 17,4
Region 23,Region 18,0
Region 23,Region 19,4
Region 23,Region 20,0
Region 23,Region 21,14
Region 23,Region 22,8
Region 23,Region 23,7
Region 23,Region 24,5
Region 23,Region 25,0
Region 23,Region 26,0
Region 23,Region 27,0
Region 23,Region 28,1
Region 23,Region 29,6
Region 23,Region 30,0
Region 23,Region 31,0
Region 23,Region 32,1
Region 23,Region 33,0
Region 23,Region 34,0
Region 23,Region 35,0
Region 23,Region 36,0
Region 23,Region 37,2
Region 23,Region 38,0
Region 23,Region 39,0
Region 23,Region 40,0
Region 23,Region 41,0
Region 23,Region 42,1
Region 23,Region 43,1
Region 23,Region 44,0
Region 23,External,28
Region 24,Region 1,0
Region 24,Region 2,1
Region 24,Region 3,3
Region 24,Region 4,0
Region 24,Region 5,1
Region 24,Region 6,0
Region 24,Region 7,1
Region 24,Region 8,0
Region 24,Region 9,4
Region 24,Region 10,1
Region 24,Region 11,0
Region 24,Region 12,3
Region 24,Region 13,16
Region 24,Region 14,2
Region 24,Region 15,1
Region 24,Region 16,1
Region 24,Region 17,2
Region 24,Region 18,4
Region 24,Region 19,4
Region 24,Region 20,6
Region 24,Region 21,3
Region 24,Region 22,5
Region 24,Region 23,2
Region 24,Region 24,26
Region 24,Region 25,0
Region 24,Region 26,0
Region 24,Region 27,6
Region 24,Region 28,1
Region 24,Region 29,11
Region 24,Region 30,1
Region 24,Region 31,0
Region 24,Region 32,1
Region 24,Region 33,3
Region 24,Region 34,2
Region 24,Region 35,1
Region 24,Region 36,3
Region 24,Region 37,4
Region 24,Region 38,0
Region 24,Region 39,0
Region 24,Region 40,9
Region 24,Region 41,0
Region 24,Region 42,4
Region 24,Region 43,0
Region 24,Region 44,2
Region 24,External,123
Region 25,Region 1,0
Region 25,Region 2,5
Region 25,Region 3,0
Region 25,Region 4,0
Region 25,Region 5,0
Region 25,Region 6,0
Region 25,Region 7,0
Region 25,Region 8,0
Region 25,Region 9,3
Region 25,Region 10,0
Region 25,Region 11,0
Region 25,Region 12,0
Region 25,Region 13,1
Region 25,Region 14,0
Region 25,Region 15,2
Region 25,Region 16,2
Region 25,Region 17,0
Region 25,Region 18,1
Region 25,Region 19,3
Region 25,Region 20,7
Region 25,Region 21,3
Region 25,Region 22,0
Region 25,Region 23,0
Region 25,Region 24,1
Region 25,Region 25,2
Region 25,Region 26,0
Region 25,Region 27,0
Region 25,Region 28,0
Region 25,Region 29,0
Region 25,Region 30,2
Region 25,Region 31,0
Region 25,Region 32,0
Region 25,Region 33,1
Region 25,Region 34,0
Region 25,Region 35,0
Region 25,Region 36,0
Region 25,Region 37,0
Region 25,Region 38,1
Region 25,Region 39,0
Region 25,Region 40,0
Region 25,Region 41,0
Region 25,Region 42,0
Region 25,Region 43,0
Region 25,Region 44,0
Region 25,External,27
Region 26,Region 1,0
Region 26,Region 2,0
Region 26,Region 3,0
Region 26,Region 4,0
Region 26,Region 5,0
Region 26,Region 6,0
Region 26,Region 7,1
Region 26,Region 8,0
Region 26,Region 9,0
Region 26,Region 10,0
Region 26,Region 11,0
Region 26,Region 12,0
Region 26,Region 13,0
Region 26,Region 14,0
Region 26,Region 15,0
Region 26,Region 16,0
Region 26,Region 17,2
Region 26,Region 18,0
Region 26,Region 19,0
Region 26,Region 20,3
Region 26,Region 21,1
Region 26,Region 22,0
Region 26,Region 23,0
Region 26,Region 24,1
Region 26,Region 25,1
Region 26,Region 26,4
Region 26,Region 27,2
Region 26,Region 28,0
Region 26,Region 29,0
