Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 17,Region 32,104
Region 17,Region 33,227
Region 17,Region 34,295
Region 17,Region 35,18147
Region 17,Region 36,98
Region 17,Region 37,982
Region 17,Region 38,196
Region 17,Region 39,211
Region 17,Region 40,403
Region 17,Region 41,11
Region 17,Region 42,1422
Region 17,Region 43,778
Region 17,Region 44,695
Region 18,Region 1,8
Region 18,Region 2,38
Region 18,Region 3,6
Region 18,Region 4,19
Region 18,Region 5,65
Region 18,Region 6,5
Region 18,Region 7,19
Region 18,Region 8,20
Region 18,Region 9,191
Region 18,Region 10,0
Region 18,Region 11,2
Region 18,Region 12,32
Region 18,Region 13,30
Region 18,Region 14,14
Region 18,Region 15,38
Region 18,Region 16,16
Region 18,Region 17,1202
Region 18,Region 18,167
Region 18,Region 19,67
Region 18,Region 20,144
Region 18,Region 21,27
Region 18,Region 22,21
Region 18,Region 23,42
Region 18,Region 24,54
Region 18,Region 25,27
Region 18,Region 26,9
Region 18,Region 27,32
Region 18,Region 28,17
Region 18,Region 29,28
Region 18,Region 30,12
Region 18,Region 31,3
Region 18,Region 32,17
Region 18,Region 33,9
Region 18,Region 34,12
Region 18,Region 35,577
Region 18,Region 36,17
Region 18,Region 37,13
Region 18,Region 38,32
Region 18,Region 39,37
Region 18,Region 40,93
Region 18,Region 41,1
Region 18,Region 42,102
Region 18,Region 43,33
Region 18,Region 44,181
Region 19,Region 1,1
Region 19,Region 2,26
Region 19,Region 3,14
Region 19,Region 4,20
Region 19,Region 5,50
Region 19,Region 6,59
Region 19,Region 7,15
Region 19,Region 8,10
Region 19,Region 9,177
Region 19,Region 10,9
Region 19,Region 11,3
Region 19,Region 12,33
Region 19,Region 13,38
Region 19,Region 14,18
Region 19,Region 15,27
Region 19,Region 16,33
Region 19,Region 17,640
Region 19,Region 18,90
Region 19,Region 19,458
Region 19,Region 20,317
Region 19,Region 21,252
Region 19,Region 22,86
Region 19,Region 23,408
Region 19,Region 24,144
Region 19,Region 25,66
Region 19,Region 26,53
Region 19,Region 27,29
Region 19,Region 28,34
Region 19,Region 29,31
Region 19,Region 30,20
Region 19,Region 31,9
Region 19,Region 32,11
Region 19,Region 33,5
Region 19,Region 34,20
Region 19,Region 35,444
Region 19,Region 36,11
Region 19,Region 37,21
Region 19,Region 38,25
Region 19,Region 39,42
Region 19,Region 40,189
Region 19,Region 41,3
Region 19,Region 42,110
Region 19,Region 43,43
Region 19,Region 44,84
Region 20,Region 1,7
Region 20,Region 2,22
Region 20,Region 3,12
Region 20,Region 4,24
Region 20,Region 5,38
Region 20,Region 6,7
Region 20,Region 7,7
Region 20,Region 8,16
Region 20,Region 9,204
Region 20,Region 10,1
Region 20,Region 11,2
Region 20,Region 12,21
Region 20,Region 13,37
Region 20,Region 14,18
Region 20,Region 15,31
Region 20,Region 16,31
Region 20,Region 17,980
Region 20,Region 18,127
Region 20,Region 19,290
Region 20,Region 20,455
Region 20,Region 21,101
Region 20,Region 22,36
Region 20,Region 23,97
Region 20,Region 24,62
Region 20,Region 25,135
Region 20,Region 26,97
Region 20,Region 27,43
Region 20,Region 28,25
Region 20,Region 29,19
Region 20,Region 30,15
